Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value
CHEMBL451902,,None,552.49,2,5.44,1,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1-c1c(O)cc2oc(-c3ccc(O)cc3)cc(=O)c2c1O,Inhibition,'=',77.9,%,,,,UO_0000187,,,,,0,CHEMBL970156,Cytotoxicity against human Calu1 cells at 50 uM after 3 days,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL1154577,1,Scientific Literature,J Nat Prod,2000,CHEMBL3308031,,,
CHEMBL611541,,None,345.15,0,-0.61,2b,Nc1nncc2c1c(Br)cn2C1O[C@H](CO)[C@@H](O)[C@H]1O,IC50,'=',11000,nM,4.96,,,UO_0000065,,,,,0,CHEMBL653335,Tested for in vitro cell growth inhibition of CALU-1 cells,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL1127034,1,Scientific Literature,J Med Chem,1993,CHEMBL3308031,,,
CHEMBL146192,,None,337.2,0,4.91,3i,COc1ccc(/C=C/C(=O)c2ccc(Cl)cc2Cl)c(OC)c1,GI,'=',30,%,,,,UO_0000187,,,,,0,CHEMBL1067777,Growth inhibition of human Calu1 cells at 10 uM after 24 hrs by propidium iodide assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL1156852,1,Scientific Literature,Bioorg Med Chem,2010,CHEMBL3308031,,,
CHEMBL2086819,,None,490.49,0,2.27,8c,COc1cc(/C=C/C(=O)OCCCCOc2no[n+]([O-])c2S(=O)(=O)c2ccccc2)ccc1O,IC50,'=',410,nM,6.39,,,UO_0000065,,,,,0,CHEMBL2091958,Cytotoxicity against human Calu1 cells after 72 hrs by alamar blue assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL2086326,1,Scientific Literature,Bioorg Med Chem Lett,2012,CHEMBL3308031,,,
CHEMBL596966,,None,377.67,1,5.48,4g,COc1ccc(C(=O)/C=C/C=C(\Cl)c2ccc(Br)cc2)cc1,Activity,'=',29,%,,,,UO_0000187,,,,,0,CHEMBL1071635,Anticancer activity against human Calu1 cells at 10 uM after 48 hrs by propidium iodide fluorescence assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL1157556,1,Scientific Literature,Bioorg Med Chem,2010,CHEMBL3308031,,,
CHEMBL610222,,None,407.69,1,5.49,4a,COc1ccc(C(=O)/C=C/C=C(\Cl)c2ccc(Br)cc2)c(OC)c1,Activity,'=',27,%,,,,UO_0000187,,,,,0,CHEMBL1071635,Anticancer activity against human Calu1 cells at 10 uM after 48 hrs by propidium iodide fluorescence assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL1157556,1,Scientific Literature,Bioorg Med Chem,2010,CHEMBL3308031,,,
CHEMBL479129,,None,300.27,0,1.9,3,COc1c(O)c(C)cc2c1C(=O)c1c(O)cc(O)cc1C2=O,GI,'=',93.8,%,,,,UO_0000187,,,,,0,CHEMBL996203,Growth inhibition of human Calu1 cells assessed as [3H]thymidine incorporation at 100 uM after 3 days by scintillation counting,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL1150850,1,Scientific Literature,J Nat Prod,2001,CHEMBL3308031,,,
CHEMBL289277,EMODIN,None,270.24,0,1.89,10,Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O,GI,'=',100,%,,,,UO_0000187,,,,,0,CHEMBL996204,Growth inhibition of human Calu1 cells assessed as [3H]thymidine incorporation at 50 uM after 3 days by scintillation counting,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL1150850,1,Scientific Literature,J Nat Prod,2001,CHEMBL3308031,,,
CHEMBL428647,PACLITAXEL,4,853.92,2,3.74,1,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,IC50,'=',1330,nM,5.88,,,UO_0000065,,,,,0,CHEMBL3587184,Cytotoxicity against human Calu1 cells assessed as inhibition of cell proliferation,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL3879801,NON-PROTEIN TARGET,,NON-MOLECULAR,CHEMBL3585243,1,Scientific Literature,Bioorg Med Chem Lett,2014,CHEMBL3308031,,,
CHEMBL3585532,,None,1092.2,None,None,2c,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](OC(=O)OCCSSCCOCC(=O)O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,IC50,'=',8900,nM,5.05,,,UO_0000065,,,,,0,CHEMBL3587184,Cytotoxicity against human Calu1 cells assessed as inhibition of cell proliferation,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL3879801,NON-PROTEIN TARGET,,NON-MOLECULAR,CHEMBL3585243,1,Scientific Literature,Bioorg Med Chem Lett,2014,CHEMBL3308031,,,
CHEMBL3585535,,None,1105.25,None,None,2f,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](OC(=O)OCCSSCCOC(=O)[C@H](C)N)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,IC50,'=',1600,nM,5.8,,,UO_0000065,,,,,0,CHEMBL3587184,Cytotoxicity against human Calu1 cells assessed as inhibition of cell proliferation,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL3879801,NON-PROTEIN TARGET,,NON-MOLECULAR,CHEMBL3585243,1,Scientific Literature,Bioorg Med Chem Lett,2014,CHEMBL3308031,,,
CHEMBL3585538,,None,1033.18,None,None,2i,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](OC(=O)OCCSSCCN)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,IC50,'=',870,nM,6.06,,,UO_0000065,,,,,0,CHEMBL3587184,Cytotoxicity against human Calu1 cells assessed as inhibition of cell proliferation,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL3879801,NON-PROTEIN TARGET,,NON-MOLECULAR,CHEMBL3585243,1,Scientific Literature,Bioorg Med Chem Lett,2014,CHEMBL3308031,,,
CHEMBL3585541,,None,1414.56,None,None,3b,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](OC(=O)OCCSSCCOC(=O)CCC(=O)O)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](OC(=O)OCCSSCCOC(=O)CCC(=O)O)[C@@H](NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,IC50,'=',9700,nM,5.01,,,UO_0000065,,,,,0,CHEMBL3587184,Cytotoxicity against human Calu1 cells assessed as inhibition of cell proliferation,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL3879801,NON-PROTEIN TARGET,,NON-MOLECULAR,CHEMBL3585243,1,Scientific Literature,Bioorg Med Chem Lett,2014,CHEMBL3308031,,,
CHEMBL3585543,,None,1412.6,None,None,3d,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](OC(=O)OCCSSCCNC(=O)CCC(=O)O)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](OC(=O)OCCSSCCNC(=O)CCC(=O)O)[C@@H](NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,IC50,'=',7980,nM,5.1,,,UO_0000065,,,,,0,CHEMBL3587184,Cytotoxicity against human Calu1 cells assessed as inhibition of cell proliferation,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL3879801,NON-PROTEIN TARGET,,NON-MOLECULAR,CHEMBL3585243,1,Scientific Literature,Bioorg Med Chem Lett,2014,CHEMBL3308031,,,
CHEMBL3920122,,None,368.78,1,5.11,154,Cc1onc(-c2ccc([N+](=O)[O-])cc2)c1C(=O)/C=C/c1ccccc1Cl,IC50,'=',2070,nM,5.68,,,UO_0000065,,,,,0,CHEMBL3877846,Cytotoxicity against human Calu1 cells by sulforhodamine-B assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL3879801,NON-PROTEIN TARGET,,NON-MOLECULAR,CHEMBL3877255,1,Scientific Literature,Eur J Med Chem,2017,CHEMBL3308031,,,
CHEMBL599212,,None,346.79,0,4.86,4c,COc1ccc(C(=O)/C=C/C=C(\Cl)c2ccc(F)cc2)c(OC)c1,Activity,'=',36,%,,,,UO_0000187,,,,,0,CHEMBL1071635,Anticancer activity against human Calu1 cells at 10 uM after 48 hrs by propidium iodide fluorescence assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL1157556,1,Scientific Literature,Bioorg Med Chem,2010,CHEMBL3308031,,,
CHEMBL609325,,None,302.76,0,4.25,3g,COc1ccc(/C=C/C(=O)c2cccc(Cl)c2)c(OC)c1,GI,'=',37,%,,,,UO_0000187,,,,,0,CHEMBL1067777,Growth inhibition of human Calu1 cells at 10 uM after 24 hrs by propidium iodide assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL1156852,1,Scientific Literature,Bioorg Med Chem,2010,CHEMBL3308031,,,
CHEMBL448488,,None,568.53,2,5.67,3,COc1cc(O)c2c(=O)cc(-c3ccc(OC)c(-c4c(O)cc5c(c4O)C(=O)C[C@H](c4ccc(O)cc4)O5)c3)oc2c1,Inhibition,'=',100,%,,,,UO_0000187,,,,,0,CHEMBL970155,Cytotoxicity against human Calu1 cells at 100 uM after 3 days,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL1154577,1,Scientific Literature,J Nat Prod,2000,CHEMBL3308031,,,
CHEMBL164861,,None,330.29,0,2.59,4a,COc1cc(O)c2c(=O)c(OC)c(-c3ccc(O)c(O)c3)oc2c1,IC50,'=',39570,nM,4.4,,,UO_0000065,,,,,0,CHEMBL3380571,Anticancer activity against human Calu1 cells by HTS assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL3879801,NON-PROTEIN TARGET,,NON-MOLECULAR,CHEMBL3352654,1,Scientific Literature,Bioorg Med Chem Lett,2014,CHEMBL3308031,,,
CHEMBL3326999,,None,386.4,0,4.15,5c,CCCOc1cc(O)c2c(=O)c(O)c(-c3ccc(OCCC)c(O)c3)oc2c1,IC50,'=',9390,nM,5.03,,,UO_0000065,,,,,0,CHEMBL3380571,Anticancer activity against human Calu1 cells by HTS assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL3879801,NON-PROTEIN TARGET,,NON-MOLECULAR,CHEMBL3352654,1,Scientific Literature,Bioorg Med Chem Lett,2014,CHEMBL3308031,,,
CHEMBL189584,PD-173074,None,523.68,2,5.16,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL685,MEBENDAZOLE,4,295.3,0,2.97,MBZ,COC(=O)Nc1nc2cc(C(=O)c3ccccc3)ccc2[nH]1,EC50,'=',1100,nM,5.96,,,UO_0000065,,,,,0,CHEMBL4254147,Cytotoxicity against human Calu1 cells assessed as reduction in cell viability after 72 hrs by MTT assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL4251617,1,Scientific Literature,Eur J Med Chem,2018,CHEMBL3308031,,,
CHEMBL4289173,,None,332.22,None,None,5,COc1ccc(NC(=O)c2ccc3n[se]nc3c2)cc1,Activity,'=',48.1,%,,,,UO_0000187,,,,,0,CHEMBL4273903,Growth inhibition of human HTB-54 cells assessed as cell growth at 10 uM after 72 hrs by MTT assay relative to control,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL4270585,1,Scientific Literature,Eur J Med Chem,2018,CHEMBL3308031,,,
CHEMBL4282376,,None,302.19,None,None,1,O=C(Nc1ccccc1)c1ccc2n[se]nc2c1,Activity,'=',42.4,%,,,,UO_0000187,,,,,0,CHEMBL4273904,Growth inhibition of human HTB-54 cells assessed as cell growth at 100 uM after 72 hrs by MTT assay relative to control,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL4270585,1,Scientific Literature,Eur J Med Chem,2018,CHEMBL3308031,,,
CHEMBL225249,,None,238.24,0,1.84,8,CC(C)CC(=O)c1c(O)cc(O)c(C=O)c1O,GI,'=',59,%,,,,UO_0000187,,,,,0,CHEMBL1960823,Growth inhibition of human Calu1 cells at 10 uM after 48 hrs by WST-8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL1955790,1,Scientific Literature,Bioorg Med Chem Lett,2012,CHEMBL3308031,,,
CHEMBL598794,,None,544.6,2,4.87,10,CC(C)C(=O)c1c(O)c(Cc2c(O)c(C(=O)C(C)C)c(O)c(C(=O)C(C)C)c2O)c(O)c(C(=O)C(C)C)c1O,GI,'=',16,%,,,,UO_0000187,,,,,0,CHEMBL1960823,Growth inhibition of human Calu1 cells at 10 uM after 48 hrs by WST-8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL1955790,1,Scientific Literature,Bioorg Med Chem Lett,2012,CHEMBL3308031,,,
CHEMBL1956698,,None,716.82,4,8.76,22,CC(C)CC(=O)c1c(O)c(C(=O)CC(C)C)c(O)c(C(c2cc3ccccc3o2)c2c(O)c(C(=O)CC(C)C)c(O)c(C(=O)CC(C)C)c2O)c1O,GI,'=',56,%,,,,UO_0000187,,,,,0,CHEMBL1960823,Growth inhibition of human Calu1 cells at 10 uM after 48 hrs by WST-8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL1955790,1,Scientific Literature,Bioorg Med Chem Lett,2012,CHEMBL3308031,,,
